sample,species_sylph,species_miniphy,filename_in_tar_xz,tar_xz,tar_xz_url,tar_xz_md5,tar_xz_size_MB
SAMN16784690,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16784690.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16784691,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16784691.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN13262494,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN13262494.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN13262482,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN13262482.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN21194825,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN21194825.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN31888817,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN31888817.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15163233,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15163233.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN31677949,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN31677949.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN13160264,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN13160264.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN30118241,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN30118241.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN33907154,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN33907154.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN33907153,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN33907153.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN14071533,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN14071533.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN19471376,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN19471376.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN11373588,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN11373588.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN12911415,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN12911415.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN31310229,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN31310229.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN27922008,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN27922008.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN27922007,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN27922007.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN20345128,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN20345128.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN20345129,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN20345129.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN20345127,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN20345127.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN13885683,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN13885683.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN22213132,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN22213132.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN31677954,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN31677954.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN24375058,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN24375058.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN27675070,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN27675070.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN19487240,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN19487240.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16218602,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16218602.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN27734920,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN27734920.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN31677820,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN31677820.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN27484124,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN27484124.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN13927443,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN13927443.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN31677953,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN31677953.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN31677956,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN31677956.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN31677950,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN31677950.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15705211,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15705211.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15705210,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15705210.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15163232,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15163232.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15163229,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15163229.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15163226,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15163226.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15163231,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15163231.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15163230,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15163230.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15163234,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15163234.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15163228,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15163228.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15163227,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15163227.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN26982643,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN26982643.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN26982466,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN26982466.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN26982787,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN26982787.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN13229277,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN13229277.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN31677955,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN31677955.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN31677952,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN31677952.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN12015793,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN12015793.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN12015780,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN12015780.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN24849379,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN24849379.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16669251,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16669251.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN33764263,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN33764263.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN20605961,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN20605961.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN19598583,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN19598583.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN15947110,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN15947110.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN14071531,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN14071531.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN14071232,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN14071232.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN10871977,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN10871977.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN27921958,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN27921958.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN18311133,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN18311133.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN18153428,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN18153428.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN17901195,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN17901195.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN20201267,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN20201267.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN13160259,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN13160259.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16872573,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16872573.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16872569,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16872569.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16872572,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16872572.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16872567,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16872567.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16872574,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16872574.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16872570,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16872570.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16872571,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16872571.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16872568,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16872568.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN22875885,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN22875885.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN23576622,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN23576622.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
